"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Births"	"Female Population"	"Fertility Rate"
	"Georgia"	"13"	"2019"	"2019"	"Under 15 years"	"15"	87	Not Available	Not Available
	"Georgia"	"13"	"2019"	"2019"	"15-19 years"	"15-19"	7090	360287	19.68
	"Georgia"	"13"	"2019"	"2019"	"20-24 years"	"20-24"	27390	352957	77.60
	"Georgia"	"13"	"2019"	"2019"	"25-29 years"	"25-29"	37299	384940	96.90
	"Georgia"	"13"	"2019"	"2019"	"30-34 years"	"30-34"	33356	366690	90.97
	"Georgia"	"13"	"2019"	"2019"	"35-39 years"	"35-39"	17173	366142	46.90
	"Georgia"	"13"	"2019"	"2019"	"40-44 years"	"40-44"	3692	349003	10.58
	"Georgia"	"13"	"2019"	"2019"	"45-49 years"	"45-49"	262	Not Available	Not Available
	"Georgia"	"13"	"2019"	"2019"	"50 years and over"	"50+"	22	Not Available	Not Available
	"Georgia"	"13"	"2020"	"2020"	"Under 15 years"	"15"	95	Not Available	Not Available
	"Georgia"	"13"	"2020"	"2020"	"15-19 years"	"15-19"	6572	360551	18.23
	"Georgia"	"13"	"2020"	"2020"	"20-24 years"	"20-24"	26023	357301	72.83
	"Georgia"	"13"	"2020"	"2020"	"25-29 years"	"25-29"	35770	381447	93.77
	"Georgia"	"13"	"2020"	"2020"	"30-34 years"	"30-34"	33180	376195	88.20
	"Georgia"	"13"	"2020"	"2020"	"35-39 years"	"35-39"	16843	366798	45.92
	"Georgia"	"13"	"2020"	"2020"	"40-44 years"	"40-44"	3714	355093	10.46
	"Georgia"	"13"	"2020"	"2020"	"45-49 years"	"45-49"	245	Not Available	Not Available
	"Georgia"	"13"	"2020"	"2020"	"50 years and over"	"50+"	31	Not Available	Not Available
	"Georgia"	"13"	"2021"	"2021"	"Under 15 years"	"15"	82	Not Available	Not Available
	"Georgia"	"13"	"2021"	"2021"	"15-19 years"	"15-19"	6141	370346	16.58
	"Georgia"	"13"	"2021"	"2021"	"20-24 years"	"20-24"	25433	360140	70.62
	"Georgia"	"13"	"2021"	"2021"	"25-29 years"	"25-29"	35769	371767	96.21
	"Georgia"	"13"	"2021"	"2021"	"30-34 years"	"30-34"	34768	384187	90.50
	"Georgia"	"13"	"2021"	"2021"	"35-39 years"	"35-39"	17608	369969	47.59
	"Georgia"	"13"	"2021"	"2021"	"40-44 years"	"40-44"	3996	364413	10.97
	"Georgia"	"13"	"2021"	"2021"	"45-49 years"	"45-49"	251	Not Available	Not Available
	"Georgia"	"13"	"2021"	"2021"	"50 years and over"	"50+"	25	Not Available	Not Available
	"Georgia"	"13"	"2022"	"2022"	"Under 15 years"	"15"	75	Not Available	Not Available
	"Georgia"	"13"	"2022"	"2022"	"15-19 years"	"15-19"	6128	368479	16.63
	"Georgia"	"13"	"2022"	"2022"	"20-24 years"	"20-24"	25322	381501	66.37
	"Georgia"	"13"	"2022"	"2022"	"25-29 years"	"25-29"	36037	369917	97.42
	"Georgia"	"13"	"2022"	"2022"	"30-34 years"	"30-34"	35705	391250	91.26
	"Georgia"	"13"	"2022"	"2022"	"35-39 years"	"35-39"	18347	370960	49.46
	"Georgia"	"13"	"2022"	"2022"	"40-44 years"	"40-44"	4182	368963	11.33
	"Georgia"	"13"	"2022"	"2022"	"45-49 years"	"45-49"	302	Not Available	Not Available
	"Georgia"	"13"	"2022"	"2022"	"50 years and over"	"50+"	32	Not Available	Not Available
	"Hawaii"	"15"	"2016"	"2016"	"15-19 years"	"15-19"	728	37877	19.22
	"Hawaii"	"15"	"2016"	"2016"	"20-24 years"	"20-24"	3529	43108	81.86
	"Hawaii"	"15"	"2016"	"2016"	"25-29 years"	"25-29"	5106	49802	102.53
	"Hawaii"	"15"	"2016"	"2016"	"30-34 years"	"30-34"	5037	49279	102.21
	"Hawaii"	"15"	"2016"	"2016"	"35-39 years"	"35-39"	2909	45824	63.48
	"Hawaii"	"15"	"2016"	"2016"	"40-44 years"	"40-44"	689	41320	16.67
	"Hawaii"	"15"	"2016"	"2016"	"45-49 years"	"45-49"	48	Not Available	Not Available
	"Hawaii"	"15"	"2017"	"2017"	"15-19 years"	"15-19"	714	37287	19.15
	"Hawaii"	"15"	"2017"	"2017"	"20-24 years"	"20-24"	3415	41729	81.84
	"Hawaii"	"15"	"2017"	"2017"	"25-29 years"	"25-29"	4841	49533	97.73
	"Hawaii"	"15"	"2017"	"2017"	"30-34 years"	"30-34"	4832	49027	98.56
	"Hawaii"	"15"	"2017"	"2017"	"35-39 years"	"35-39"	2915	46850	62.22
	"Hawaii"	"15"	"2017"	"2017"	"40-44 years"	"40-44"	718	41498	17.30
	"Hawaii"	"15"	"2017"	"2017"	"45-49 years"	"45-49"	71	Not Available	Not Available
	"Hawaii"	"15"	"2018"	"2018"	"15-19 years"	"15-19"	643	37345	17.22
	"Hawaii"	"15"	"2018"	"2018"	"20-24 years"	"20-24"	3117	40791	76.41
	"Hawaii"	"15"	"2018"	"2018"	"25-29 years"	"25-29"	4703	49040	95.90
	"Hawaii"	"15"	"2018"	"2018"	"30-34 years"	"30-34"	4714	48132	97.94
	"Hawaii"	"15"	"2018"	"2018"	"35-39 years"	"35-39"	3007	47731	63.00
	"Hawaii"	"15"	"2018"	"2018"	"40-44 years"	"40-44"	717	41522	17.27
	"Hawaii"	"15"	"2018"	"2018"	"45-49 years"	"45-49"	61	Not Available	Not Available
	"Hawaii"	"15"	"2019"	"2019"	"15-19 years"	"15-19"	584	37302	15.66
	"Hawaii"	"15"	"2019"	"2019"	"20-24 years"	"20-24"	3068	39983	76.73
	"Hawaii"	"15"	"2019"	"2019"	"25-29 years"	"25-29"	4673	48114	97.12
	"Hawaii"	"15"	"2019"	"2019"	"30-34 years"	"30-34"	4604	47757	96.40
	"Hawaii"	"15"	"2019"	"2019"	"35-39 years"	"35-39"	3051	47721	63.93
	"Hawaii"	"15"	"2019"	"2019"	"40-44 years"	"40-44"	756	41991	18.00
	"Hawaii"	"15"	"2019"	"2019"	"45-49 years"	"45-49"	53	Not Available	Not Available
	"Hawaii"	"15"	"2020"	"2020"	"15-19 years"	"15-19"	470	36031	13.04
	"Hawaii"	"15"	"2020"	"2020"	"20-24 years"	"20-24"	2847	39148	72.72
	"Hawaii"	"15"	"2020"	"2020"	"25-29 years"	"25-29"	4325	46128	93.76
	"Hawaii"	"15"	"2020"	"2020"	"30-34 years"	"30-34"	4498	47446	94.80
	"Hawaii"	"15"	"2020"	"2020"	"35-39 years"	"35-39"	2887	46889	61.57
	"Hawaii"	"15"	"2020"	"2020"	"40-44 years"	"40-44"	707	42686	16.56
	"Hawaii"	"15"	"2020"	"2020"	"45-49 years"	"45-49"	40	Not Available	Not Available
	"Hawaii"	"15"	"2021"	"2021"	"15-19 years"	"15-19"	463	37673	12.29
	"Hawaii"	"15"	"2021"	"2021"	"20-24 years"	"20-24"	2585	39565	65.34
	"Hawaii"	"15"	"2021"	"2021"	"25-29 years"	"25-29"	4047	44646	90.65
	"Hawaii"	"15"	"2021"	"2021"	"30-34 years"	"30-34"	4738	48646	97.40
	"Hawaii"	"15"	"2021"	"2021"	"35-39 years"	"35-39"	2990	48339	61.85
	"Hawaii"	"15"	"2021"	"2021"	"40-44 years"	"40-44"	743	45019	16.50
	"Hawaii"	"15"	"2021"	"2021"	"45-49 years"	"45-49"	48	Not Available	Not Available
	"Hawaii"	"15"	"2022"	"2022"	"15-19 years"	"15-19"	432	36972	11.68
	"Hawaii"	"15"	"2022"	"2022"	"20-24 years"	"20-24"	2582	40526	63.71
	"Hawaii"	"15"	"2022"	"2022"	"25-29 years"	"25-29"	4054	43284	93.66
	"Hawaii"	"15"	"2022"	"2022"	"30-34 years"	"30-34"	4592	47764	96.14
	"Hawaii"	"15"	"2022"	"2022"	"35-39 years"	"35-39"	3030	47855	63.32
	"Hawaii"	"15"	"2022"	"2022"	"40-44 years"	"40-44"	772	45530	16.96
	"Hawaii"	"15"	"2022"	"2022"	"45-49 years"	"45-49"	63	Not Available	Not Available
	"Idaho"	"16"	"2016"	"2016"	"15-19 years"	"15-19"	1171	58145	20.14
	"Idaho"	"16"	"2016"	"2016"	"20-24 years"	"20-24"	5574	53194	104.79
	"Idaho"	"16"	"2016"	"2016"	"25-29 years"	"25-29"	7174	55109	130.18
	"Idaho"	"16"	"2016"	"2016"	"30-34 years"	"30-34"	5699	54117	105.31
	"Idaho"	"16"	"2016"	"2016"	"35-39 years"	"35-39"	2333	53335	43.74
	"Idaho"	"16"	"2016"	"2016"	"40-44 years"	"40-44"	491	48192	10.19
	"Idaho"	"16"	"2016"	"2016"	"45-49 years"	"45-49"	33	Not Available	Not Available
	"Idaho"	"16"	"2017"	"2017"	"Under 15 years"	"15"	10	Not Available	Not Available
	"Idaho"	"16"	"2017"	"2017"	"15-19 years"	"15-19"	1106	59434	18.61
	"Idaho"	"16"	"2017"	"2017"	"20-24 years"	"20-24"	5388	53648	100.43
	"Idaho"	"16"	"2017"	"2017"	"25-29 years"	"25-29"	7285	56481	128.98
	"Idaho"	"16"	"2017"	"2017"	"30-34 years"	"30-34"	5435	54400	99.91
	"Idaho"	"16"	"2017"	"2017"	"35-39 years"	"35-39"	2472	55557	44.49
	"Idaho"	"16"	"2017"	"2017"	"40-44 years"	"40-44"	447	49421	9.04
	"Idaho"	"16"	"2017"	"2017"	"45-49 years"	"45-49"	35	Not Available	Not Available
	"Idaho"	"16"	"2018"	"2018"	"15-19 years"	"15-19"	972	60898	15.96
	"Idaho"	"16"	"2018"	"2018"	"20-24 years"	"20-24"	5100	54669	93.29
	"Idaho"	"16"	"2018"	"2018"	"25-29 years"	"25-29"	6976	57963	120.35
	"Idaho"	"16"	"2018"	"2018"	"30-34 years"	"30-34"	5338	55431	96.30
	"Idaho"	"16"	"2018"	"2018"	"35-39 years"	"35-39"	2541	57138	44.47
	"Idaho"	"16"	"2018"	"2018"	"40-44 years"	"40-44"	442	51543	8.58
	"Idaho"	"16"	"2018"	"2018"	"45-49 years"	"45-49"	29	Not Available	Not Available
	"Idaho"	"16"	"2019"	"2019"	"15-19 years"	"15-19"	917	61406	14.93
	"Idaho"	"16"	"2019"	"2019"	"20-24 years"	"20-24"	5140	55390	92.80
	"Idaho"	"16"	"2019"	"2019"	"25-29 years"	"25-29"	7180	58782	122.15
	"Idaho"	"16"	"2019"	"2019"	"30-34 years"	"30-34"	5571	56991	97.75
	"Idaho"	"16"	"2019"	"2019"	"35-39 years"	"35-39"	2706	58516	46.24
	"Idaho"	"16"	"2019"	"2019"	"40-44 years"	"40-44"	504	53736	9.38
	"Idaho"	"16"	"2019"	"2019"	"45-49 years"	"45-49"	32	Not Available	Not Available
	"Idaho"	"16"	"2020"	"2020"	"15-19 years"	"15-19"	909	62339	14.58
	"Idaho"	"16"	"2020"	"2020"	"20-24 years"	"20-24"	4916	57239	85.89
	"Idaho"	"16"	"2020"	"2020"	"25-29 years"	"25-29"	7020	58815	119.36
	"Idaho"	"16"	"2020"	"2020"	"30-34 years"	"30-34"	5503	59118	93.09
	"Idaho"	"16"	"2020"	"2020"	"35-39 years"	"35-39"	2611	59678	43.75
	"Idaho"	"16"	"2020"	"2020"	"40-44 years"	"40-44"	538	56178	9.58
	"Idaho"	"16"	"2020"	"2020"	"45-49 years"	"45-49"	27	Not Available	Not Available
	"Idaho"	"16"	"2021"	"2021"	"15-19 years"	"15-19"	787	65600	12.00
	"Idaho"	"16"	"2021"	"2021"	"20-24 years"	"20-24"	4943	59359	83.27
	"Idaho"	"16"	"2021"	"2021"	"25-29 years"	"25-29"	7328	59594	122.97
	"Idaho"	"16"	"2021"	"2021"	"30-34 years"	"30-34"	5985	62199	96.22
	"Idaho"	"16"	"2021"	"2021"	"35-39 years"	"35-39"	2740	62317	43.97
	"Idaho"	"16"	"2021"	"2021"	"40-44 years"	"40-44"	601	60280	9.97
	"Idaho"	"16"	"2021"	"2021"	"45-49 years"	"45-49"	34	Not Available	Not Available
	"Idaho"	"16"	"2022"	"2022"	"15-19 years"	"15-19"	807	74229	10.87
	"Idaho"	"16"	"2022"	"2022"	"20-24 years"	"20-24"	4796	64401	74.47
	"Idaho"	"16"	"2022"	"2022"	"25-29 years"	"25-29"	7175	59306	120.98
	"Idaho"	"16"	"2022"	"2022"	"30-34 years"	"30-34"	5995	62383	96.10
	"Idaho"	"16"	"2022"	"2022"	"35-39 years"	"35-39"	2942	61815	47.59
	"Idaho"	"16"	"2022"	"2022"	"40-44 years"	"40-44"	636	61498	10.34
	"Idaho"	"16"	"2022"	"2022"	"45-49 years"	"45-49"	34	Not Available	Not Available
	"Illinois"	"17"	"2016"	"2016"	"Under 15 years"	"15"	76	Not Available	Not Available
	"Illinois"	"17"	"2016"	"2016"	"15-19 years"	"15-19"	7729	412474	18.74
	"Illinois"	"17"	"2016"	"2016"	"20-24 years"	"20-24"	27928	434313	64.30
	"Illinois"	"17"	"2016"	"2016"	"25-29 years"	"25-29"	42669	441822	96.58
	"Illinois"	"17"	"2016"	"2016"	"30-34 years"	"30-34"	47420	436137	108.73
	"Illinois"	"17"	"2016"	"2016"	"35-39 years"	"35-39"	23547	424516	55.47
	"Illinois"	"17"	"2016"	"2016"	"40-44 years"	"40-44"	4725	400359	11.80
	"Illinois"	"17"	"2016"	"2016"	"45-49 years"	"45-49"	323	Not Available	Not Available
	"Illinois"	"17"	"2016"	"2016"	"50 years and over"	"50+"	28	Not Available	Not Available
	"Illinois"	"17"	"2017"	"2017"	"Under 15 years"	"15"	59	Not Available	Not Available
	"Illinois"	"17"	"2017"	"2017"	"15-19 years"	"15-19"	7103	408244	17.40
	"Illinois"	"17"	"2017"	"2017"	"20-24 years"	"20-24"	26618	425727	62.52
	"Illinois"	"17"	"2017"	"2017"	"25-29 years"	"25-29"	40922	445164	91.93
	"Illinois"	"17"	"2017"	"2017"	"30-34 years"	"30-34"	45863	432355	106.08
	"Illinois"	"17"	"2017"	"2017"	"35-39 years"	"35-39"	23803	425670	55.92
	"Illinois"	"17"	"2017"	"2017"	"40-44 years"	"40-44"	4662	394867	11.81
	"Illinois"	"17"	"2017"	"2017"	"45-49 years"	"45-49"	326	Not Available	Not Available
	"Illinois"	"17"	"2017"	"2017"	"50 years and over"	"50+"	34	Not Available	Not Available
	"Illinois"	"17"	"2018"	"2018"	"Under 15 years"	"15"	60	Not Available	Not Available
	"Illinois"	"17"	"2018"	"2018"	"15-19 years"	"15-19"	6399	405044	15.80
	"Illinois"	"17"	"2018"	"2018"	"20-24 years"	"20-24"	24505	416925	58.78
	"Illinois"	"17"	"2018"	"2018"	"25-29 years"	"25-29"	39836	445499	89.42
	"Illinois"	"17"	"2018"	"2018"	"30-34 years"	"30-34"	44859	428554	104.68
	"Illinois"	"17"	"2018"	"2018"	"35-39 years"	"35-39"	24056	427036	56.33
	"Illinois"	"17"	"2018"	"2018"	"40-44 years"	"40-44"	4750	393317	12.08
	"Illinois"	"17"	"2018"	"2018"	"45-49 years"	"45-49"	316	Not Available	Not Available
	"Illinois"	"17"	"2018"	"2018"	"50 years and over"	"50+"	34	Not Available	Not Available
	"Illinois"	"17"	"2019"	"2019"	"Under 15 years"	"15"	66	Not Available	Not Available
	"Illinois"	"17"	"2019"	"2019"	"15-19 years"	"15-19"	5883	402205	14.63
	"Illinois"	"17"	"2019"	"2019"	"20-24 years"	"20-24"	23125	408950	56.55
	"Illinois"	"17"	"2019"	"2019"	"25-29 years"	"25-29"	38069	442312	86.07
	"Illinois"	"17"	"2019"	"2019"	"30-34 years"	"30-34"	43860	425479	103.08
	"Illinois"	"17"	"2019"	"2019"	"35-39 years"	"35-39"	24039	424190	56.67
	"Illinois"	"17"	"2019"	"2019"	"40-44 years"	"40-44"	4706	394115	11.94
	"Illinois"	"17"	"2019"	"2019"	"45-49 years"	"45-49"	330	Not Available	Not Available
	"Illinois"	"17"	"2019"	"2019"	"50 years and over"	"50+"	50	Not Available	Not Available
	"Illinois"	"17"	"2020"	"2020"	"Under 15 years"	"15"	50	Not Available	Not Available
	"Illinois"	"17"	"2020"	"2020"	"15-19 years"	"15-19"	5379	396691	13.56
	"Illinois"	"17"	"2020"	"2020"	"20-24 years"	"20-24"	21399	403351	53.05
	"Illinois"	"17"	"2020"	"2020"	"25-29 years"	"25-29"	35948	435501	82.54
	"Illinois"	"17"	"2020"	"2020"	"30-34 years"	"30-34"	42464	423722	100.22
	"Illinois"	"17"	"2020"	"2020"	"35-39 years"	"35-39"	23002	419823	54.79
	"Illinois"	"17"	"2020"	"2020"	"40-44 years"	"40-44"	4706	397585	11.84
	"Illinois"	"17"	"2020"	"2020"	"45-49 years"	"45-49"	317	Not Available	Not Available
	"Illinois"	"17"	"2020"	"2020"	"50 years and over"	"50+"	33	Not Available	Not Available
	"Illinois"	"17"	"2021"	"2021"	"Under 15 years"	"15"	59	Not Available	Not Available
	"Illinois"	"17"	"2021"	"2021"	"15-19 years"	"15-19"	4507	407131	11.07
	"Illinois"	"17"	"2021"	"2021"	"20-24 years"	"20-24"	20118	401847	50.06
	"Illinois"	"17"	"2021"	"2021"	"25-29 years"	"25-29"	34914	422376	82.66
	"Illinois"	"17"	"2021"	"2021"	"30-34 years"	"30-34"	43424	427415	101.60
	"Illinois"	"17"	"2021"	"2021"	"35-39 years"	"35-39"	23993	423889	56.60
	"Illinois"	"17"	"2021"	"2021"	"40-44 years"	"40-44"	4846	409324	11.84
	"Illinois"	"17"	"2021"	"2021"	"45-49 years"	"45-49"	296	Not Available	Not Available
	"Illinois"	"17"	"2021"	"2021"	"50 years and over"	"50+"	32	Not Available	Not Available
	"Illinois"	"17"	"2022"	"2022"	"Under 15 years"	"15"	43	Not Available	Not Available
	"Illinois"	"17"	"2022"	"2022"	"15-19 years"	"15-19"	4495	399539	11.25
	"Illinois"	"17"	"2022"	"2022"	"20-24 years"	"20-24"	19294	417036	46.26
	"Illinois"	"17"	"2022"	"2022"	"25-29 years"	"25-29"	33358	411764	81.01
	"Illinois"	"17"	"2022"	"2022"	"30-34 years"	"30-34"	42052	424584	99.04
	"Illinois"	"17"	"2022"	"2022"	"35-39 years"	"35-39"	23664	414890	57.04
	"Illinois"	"17"	"2022"	"2022"	"40-44 years"	"40-44"	5047	408384	12.36
	"Illinois"	"17"	"2022"	"2022"	"45-49 years"	"45-49"	349	Not Available	Not Available
	"Illinois"	"17"	"2022"	"2022"	"50 years and over"	"50+"	48	Not Available	Not Available
	"Indiana"	"18"	"2016"	"2016"	"Under 15 years"	"15"	45	Not Available	Not Available
	"Indiana"	"18"	"2016"	"2016"	"15-19 years"	"15-19"	5255	223119	23.55
	"Indiana"	"18"	"2016"	"2016"	"20-24 years"	"20-24"	20237	233986	86.49
	"Indiana"	"18"	"2016"	"2016"	"25-29 years"	"25-29"	26474	218794	121.00
	"Indiana"	"18"	"2016"	"2016"	"30-34 years"	"30-34"	20733	209380	99.02
	"Indiana"	"18"	"2016"	"2016"	"35-39 years"	"35-39"	8638	207993	41.53
	"Indiana"	"18"	"2016"	"2016"	"40-44 years"	"40-44"	1614	199920	8.07
	"Indiana"	"18"	"2016"	"2016"	"45-49 years"	"45-49"	84	Not Available	Not Available
	"Indiana"	"18"	"2016"	"2016"	"50 years and over"	"50+"	11	Not Available	Not Available
	"Indiana"	"18"	"2017"	"2017"	"Under 15 years"	"15"	54	Not Available	Not Available
	"Indiana"	"18"	"2017"	"2017"	"15-19 years"	"15-19"	5091	223054	22.82
	"Indiana"	"18"	"2017"	"2017"	"20-24 years"	"20-24"	19589	231403	84.65
	"Indiana"	"18"	"2017"	"2017"	"25-29 years"	"25-29"	26354	223686	117.82
	"Indiana"	"18"	"2017"	"2017"	"30-34 years"	"30-34"	20842	208517	99.95
	"Indiana"	"18"	"2017"	"2017"	"35-39 years"	"35-39"	8577	210822	40.68
	"Indiana"	"18"	"2017"	"2017"	"40-44 years"	"40-44"	1554	198140	7.84
	"Indiana"	"18"	"2017"	"2017"	"45-49 years"	"45-49"	108	Not Available	Not Available
	"Indiana"	"18"	"2018"	"2018"	"Under 15 years"	"15"	46	Not Available	Not Available
	"Indiana"	"18"	"2018"	"2018"	"15-19 years"	"15-19"	4840	222229	21.78
	"Indiana"	"18"	"2018"	"2018"	"20-24 years"	"20-24"	19316	229849	84.04
	"Indiana"	"18"	"2018"	"2018"	"25-29 years"	"25-29"	26238	226497	115.84
	"Indiana"	"18"	"2018"	"2018"	"30-34 years"	"30-34"	20660	208816	98.94
	"Indiana"	"18"	"2018"	"2018"	"35-39 years"	"35-39"	8753	213539	40.99
	"Indiana"	"18"	"2018"	"2018"	"40-44 years"	"40-44"	1686	198403	8.50
	"Indiana"	"18"	"2018"	"2018"	"45-49 years"	"45-49"	94	Not Available	Not Available
	"Indiana"	"18"	"2018"	"2018"	"50 years and over"	"50+"	13	Not Available	Not Available
	"Indiana"	"18"	"2019"	"2019"	"Under 15 years"	"15"	32	Not Available	Not Available
	"Indiana"	"18"	"2019"	"2019"	"15-19 years"	"15-19"	4641	222966	20.81
	"Indiana"	"18"	"2019"	"2019"	"20-24 years"	"20-24"	19018	230809	82.40
	"Indiana"	"18"	"2019"	"2019"	"25-29 years"	"25-29"	25863	228815	113.03
	"Indiana"	"18"	"2019"	"2019"	"30-34 years"	"30-34"	20617	212436	97.05
	"Indiana"	"18"	"2019"	"2019"	"35-39 years"	"35-39"	8851	214045	41.35
	"Indiana"	"18"	"2019"	"2019"	"40-44 years"	"40-44"	1733	201383	8.61
	"Indiana"	"18"	"2019"	"2019"	"45-49 years"	"45-49"	91	Not Available	Not Available
	"Indiana"	"18"	"2019"	"2019"	"50 years and over"	"50+"	13	Not Available	Not Available
	"Indiana"	"18"	"2020"	"2020"	"Under 15 years"	"15"	43	Not Available	Not Available
	"Indiana"	"18"	"2020"	"2020"	"15-19 years"	"15-19"	4127	220912	18.68
	"Indiana"	"18"	"2020"	"2020"	"20-24 years"	"20-24"	17907	231529	77.34
	"Indiana"	"18"	"2020"	"2020"	"25-29 years"	"25-29"	25122	227111	110.62
	"Indiana"	"18"	"2020"	"2020"	"30-34 years"	"30-34"	20748	215945	96.08
	"Indiana"	"18"	"2020"	"2020"	"35-39 years"	"35-39"	8806	213284	41.29
	"Indiana"	"18"	"2020"	"2020"	"40-44 years"	"40-44"	1762	205292	8.58
	"Indiana"	"18"	"2020"	"2020"	"45-49 years"	"45-49"	94	Not Available	Not Available
	"Indiana"	"18"	"2021"	"2021"	"Under 15 years"	"15"	38	Not Available	Not Available
	"Indiana"	"18"	"2021"	"2021"	"15-19 years"	"15-19"	3843	226218	16.99
	"Indiana"	"18"	"2021"	"2021"	"20-24 years"	"20-24"	17706	232581	76.13
	"Indiana"	"18"	"2021"	"2021"	"25-29 years"	"25-29"	25392	221470	114.65
	"Indiana"	"18"	"2021"	"2021"	"30-34 years"	"30-34"	21644	220895	97.98
	"Indiana"	"18"	"2021"	"2021"	"35-39 years"	"35-39"	9378	215505	43.52
	"Indiana"	"18"	"2021"	"2021"	"40-44 years"	"40-44"	1823	211482	8.62
	"Indiana"	"18"	"2021"	"2021"	"45-49 years"	"45-49"	110	Not Available	Not Available
	"Indiana"	"18"	"2021"	"2021"	"50 years and over"	"50+"	12	Not Available	Not Available
	"Indiana"	"18"	"2022"	"2022"	"Under 15 years"	"15"	50	Not Available	Not Available
	"Indiana"	"18"	"2022"	"2022"	"15-19 years"	"15-19"	3741	224269	16.68
	"Indiana"	"18"	"2022"	"2022"	"20-24 years"	"20-24"	17371	241580	71.91
	"Indiana"	"18"	"2022"	"2022"	"25-29 years"	"25-29"	24950	217485	114.72
	"Indiana"	"18"	"2022"	"2022"	"30-34 years"	"30-34"	21919	223747	97.96
	"Indiana"	"18"	"2022"	"2022"	"35-39 years"	"35-39"	9530	213644	44.61
	"Indiana"	"18"	"2022"	"2022"	"40-44 years"	"40-44"	1964	212851	9.23
	"Indiana"	"18"	"2022"	"2022"	"45-49 years"	"45-49"	116	Not Available	Not Available
	"Iowa"	"19"	"2016"	"2016"	"Under 15 years"	"15"	10	Not Available	Not Available
	"Iowa"	"19"	"2016"	"2016"	"15-19 years"	"15-19"	1804	105029	17.18
	"Iowa"	"19"	"2016"	"2016"	"20-24 years"	"20-24"	8167	111267	73.40
	"Iowa"	"19"	"2016"	"2016"	"25-29 years"	"25-29"	13323	94522	140.95
	"Iowa"	"19"	"2016"	"2016"	"30-34 years"	"30-34"	11092	97489	113.78
	"Iowa"	"19"	"2016"	"2016"	"35-39 years"	"35-39"	4256	95259	44.68
	"Iowa"	"19"	"2016"	"2016"	"40-44 years"	"40-44"	711	85753	8.29
	"Iowa"	"19"	"2016"	"2016"	"45-49 years"	"45-49"	36	Not Available	Not Available
	"Iowa"	"19"	"2017"	"2017"	"Under 15 years"	"15"	22	Not Available	Not Available
	"Iowa"	"19"	"2017"	"2017"	"15-19 years"	"15-19"	1678	104979	15.98
	"Iowa"	"19"	"2017"	"2017"	"20-24 years"	"20-24"	7520	110509	68.05
	"Iowa"	"19"	"2017"	"2017"	"25-29 years"	"25-29"	12982	97340	133.37
	"Iowa"	"19"	"2017"	"2017"	"30-34 years"	"30-34"	10953	95620	114.55
	"Iowa"	"19"	"2017"	"2017"	"35-39 years"	"35-39"	4511	97879	46.09
	"Iowa"	"19"	"2017"	"2017"	"40-44 years"	"40-44"	726	85951	8.45
	"Iowa"	"19"	"2017"	"2017"	"45-49 years"	"45-49"	34	Not Available	Not Available
	"Iowa"	"19"	"2018"	"2018"	"Under 15 years"	"15"	10	Not Available	Not Available
	"Iowa"	"19"	"2018"	"2018"	"15-19 years"	"15-19"	1603	104650	15.32
	"Iowa"	"19"	"2018"	"2018"	"20-24 years"	"20-24"	7226	110084	65.64
	"Iowa"	"19"	"2018"	"2018"	"25-29 years"	"25-29"	12980	98897	131.25
	"Iowa"	"19"	"2018"	"2018"	"30-34 years"	"30-34"	10787	94696	113.91
	"Iowa"	"19"	"2018"	"2018"	"35-39 years"	"35-39"	4424	99072	44.65
	"Iowa"	"19"	"2018"	"2018"	"40-44 years"	"40-44"	713	87467	8.15
	"Iowa"	"19"	"2018"	"2018"	"45-49 years"	"45-49"	35	Not Available	Not Available
	"Iowa"	"19"	"2019"	"2019"	"Under 15 years"	"15"	12	Not Available	Not Available
	"Iowa"	"19"	"2019"	"2019"	"15-19 years"	"15-19"	1460	103383	14.12
	"Iowa"	"19"	"2019"	"2019"	"20-24 years"	"20-24"	7031	108676	64.70
	"Iowa"	"19"	"2019"	"2019"	"25-29 years"	"25-29"	12719	99272	128.12
	"Iowa"	"19"	"2019"	"2019"	"30-34 years"	"30-34"	11102	93934	118.19
	"Iowa"	"19"	"2019"	"2019"	"35-39 years"	"35-39"	4504	99254	45.38
	"Iowa"	"19"	"2019"	"2019"	"40-44 years"	"40-44"	781	89764	8.70
	"Iowa"	"19"	"2019"	"2019"	"45-49 years"	"45-49"	38	Not Available	Not Available
	"Iowa"	"19"	"2020"	"2020"	"Under 15 years"	"15"	14	Not Available	Not Available
	"Iowa"	"19"	"2020"	"2020"	"15-19 years"	"15-19"	1381	103569	13.33
	"Iowa"	"19"	"2020"	"2020"	"20-24 years"	"20-24"	6784	109396	62.01
	"Iowa"	"19"	"2020"	"2020"	"25-29 years"	"25-29"	12213	98919	123.46
	"Iowa"	"19"	"2020"	"2020"	"30-34 years"	"30-34"	10441	94538	110.44
	"Iowa"	"19"	"2020"	"2020"	"35-39 years"	"35-39"	4391	99110	44.30
	"Iowa"	"19"	"2020"	"2020"	"40-44 years"	"40-44"	848	92390	9.18
	"Iowa"	"19"	"2020"	"2020"	"45-49 years"	"45-49"	40	Not Available	Not Available
	"Iowa"	"19"	"2021"	"2021"	"Under 15 years"	"15"	19	Not Available	Not Available
