"Notes"	"State of Residence"	"State of Residence Code"	"Age of Mother 10"	"Age of Mother 10 Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education ""Code"	"Births"""
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	1592""
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2022"	"2022"	"Associate degree (AA, ""AS)"	"5"	860""
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2022"	"2022"	"Bachelor's degree (BA, AB, ""BS)"	"6"	1940""
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2022"	"2022"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1075""
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2022"	"2022"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	300""
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2022"	"2022"	"Unknown or Not ""Stated"	"Unk"	82""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2016"	"2016"	"8th grade or ""less"	"1"	176""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	274""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	648""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	605""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2016"	"2016"	"Associate degree (AA, ""AS)"	"5"	290""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2016"	"2016"	"Bachelor's degree (BA, AB, ""BS)"	"6"	766""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	349""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2016"	"2016"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	131""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2016"	"2016"	"Unknown or Not ""Stated"	"Unk"	19""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2017"	"2017"	"8th grade or ""less"	"1"	150""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	261""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	634""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	616""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	269""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2017"	"2017"	"Bachelor's degree (BA, AB, ""BS)"	"6"	701""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	364""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	132""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2017"	"2017"	"Unknown or Not ""Stated"	"Unk"	22""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2018"	"2018"	"8th grade or ""less"	"1"	171""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	257""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	615""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	673""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	295""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2018"	"2018"	"Bachelor's degree (BA, AB, ""BS)"	"6"	732""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	447""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	150""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	42""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2019"	"2019"	"8th grade or ""less"	"1"	163""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	266""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	646""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	683""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	298""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2019"	"2019"	"Bachelor's degree (BA, AB, ""BS)"	"6"	724""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	438""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	160""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2019"	"2019"	"Unknown or Not ""Stated"	"Unk"	21""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2020"	"2020"	"8th grade or ""less"	"1"	154""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	258""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	656""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	602""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2020"	"2020"	"Associate degree (AA, ""AS)"	"5"	303""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2020"	"2020"	"Bachelor's degree (BA, AB, ""BS)"	"6"	737""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	447""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	143""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2020"	"2020"	"Unknown or Not ""Stated"	"Unk"	30""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2021"	"2021"	"8th grade or ""less"	"1"	156""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	240""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	663""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	614""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	326""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2021"	"2021"	"Bachelor's degree (BA, AB, ""BS)"	"6"	743""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	538""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	189""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2021"	"2021"	"Unknown or Not ""Stated"	"Unk"	44""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2022"	"2022"	"8th grade or ""less"	"1"	167""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	228""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	707""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	555""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2022"	"2022"	"Associate degree (AA, ""AS)"	"5"	332""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2022"	"2022"	"Bachelor's degree (BA, AB, ""BS)"	"6"	803""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2022"	"2022"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	488""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2022"	"2022"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	159""
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2022"	"2022"	"Unknown or Not ""Stated"	"Unk"	77""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2016"	"2016"	"8th grade or ""less"	"1"	59""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	50""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	106""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	107""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2016"	"2016"	"Associate degree (AA, ""AS)"	"5"	43""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2016"	"2016"	"Bachelor's degree (BA, AB, ""BS)"	"6"	120""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	34""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2016"	"2016"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	33""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2016"	"2016"	"Unknown or Not ""Stated"	"Unk"	10""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2017"	"2017"	"8th grade or ""less"	"1"	47""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	48""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	139""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	114""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	52""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2017"	"2017"	"Bachelor's degree (BA, AB, ""BS)"	"6"	117""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	60""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	13""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2018"	"2018"	"8th grade or ""less"	"1"	55""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	60""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	121""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	115""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	47""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2018"	"2018"	"Bachelor's degree (BA, AB, ""BS)"	"6"	109""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	77""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	15""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	10""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2019"	"2019"	"8th grade or ""less"	"1"	65""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	47""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	143""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	105""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	49""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2019"	"2019"	"Bachelor's degree (BA, AB, ""BS)"	"6"	117""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	61""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	24""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2019"	"2019"	"Unknown or Not ""Stated"	"Unk"	11""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2020"	"2020"	"8th grade or ""less"	"1"	56""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	58""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	132""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	126""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2020"	"2020"	"Associate degree (AA, ""AS)"	"5"	56""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2020"	"2020"	"Bachelor's degree (BA, AB, ""BS)"	"6"	125""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	69""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	28""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2021"	"2021"	"8th grade or ""less"	"1"	60""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	78""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	143""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	110""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	63""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2021"	"2021"	"Bachelor's degree (BA, AB, ""BS)"	"6"	127""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	68""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	33""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2021"	"2021"	"Unknown or Not ""Stated"	"Unk"	19""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2022"	"2022"	"8th grade or ""less"	"1"	61""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	70""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	143""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	135""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2022"	"2022"	"Associate degree (AA, ""AS)"	"5"	65""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2022"	"2022"	"Bachelor's degree (BA, AB, ""BS)"	"6"	127""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2022"	"2022"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	83""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2022"	"2022"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	41""
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2022"	"2022"	"Unknown or Not ""Stated"	"Unk"	21""
	"Arkansas"	"05"	"45-49 years"	"45-49"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	10""
	"California"	"06"	"Under 15 years"	"15-"	"2016"	"2016"	"8th grade or ""less"	"1"	108""
	"California"	"06"	"Under 15 years"	"15-"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	81""
	"California"	"06"	"Under 15 years"	"15-"	"2017"	"2017"	"8th grade or ""less"	"1"	91""
	"California"	"06"	"Under 15 years"	"15-"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	55""
	"California"	"06"	"Under 15 years"	"15-"	"2018"	"2018"	"8th grade or ""less"	"1"	79""
	"California"	"06"	"Under 15 years"	"15-"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	43""
	"California"	"06"	"Under 15 years"	"15-"	"2019"	"2019"	"8th grade or ""less"	"1"	62""
	"California"	"06"	"Under 15 years"	"15-"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	42""
	"California"	"06"	"Under 15 years"	"15-"	"2019"	"2019"	"Unknown or Not ""Stated"	"Unk"	18""
	"California"	"06"	"Under 15 years"	"15-"	"2020"	"2020"	"8th grade or ""less"	"1"	64""
	"California"	"06"	"Under 15 years"	"15-"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	46""
	"California"	"06"	"Under 15 years"	"15-"	"2021"	"2021"	"8th grade or ""less"	"1"	63""
	"California"	"06"	"Under 15 years"	"15-"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	44""
	"California"	"06"	"Under 15 years"	"15-"	"2021"	"2021"	"Unknown or Not ""Stated"	"Unk"	24""
	"California"	"06"	"Under 15 years"	"15-"	"2022"	"2022"	"8th grade or ""less"	"1"	67""
	"California"	"06"	"Under 15 years"	"15-"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	47""
	"California"	"06"	"Under 15 years"	"15-"	"2022"	"2022"	"Unknown or Not ""Stated"	"Unk"	19""
	"California"	"06"	"15 - 17 years"	"15-17"	"2016"	"2016"	"8th grade or ""less"	"1"	320""
	"California"	"06"	"15 - 17 years"	"15-17"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	4202""
	"California"	"06"	"15 - 17 years"	"15-17"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	765""
	"California"	"06"	"15 - 17 years"	"15-17"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	44""
	"California"	"06"	"15 - 17 years"	"15-17"	"2016"	"2016"	"Unknown or Not ""Stated"	"Unk"	284""
	"California"	"06"	"15 - 17 years"	"15-17"	"2017"	"2017"	"8th grade or ""less"	"1"	284""
	"California"	"06"	"15 - 17 years"	"15-17"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	3603""
	"California"	"06"	"15 - 17 years"	"15-17"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	649""
	"California"	"06"	"15 - 17 years"	"15-17"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	25""
	"California"	"06"	"15 - 17 years"	"15-17"	"2017"	"2017"	"Unknown or Not ""Stated"	"Unk"	221""
	"California"	"06"	"15 - 17 years"	"15-17"	"2018"	"2018"	"8th grade or ""less"	"1"	285""
	"California"	"06"	"15 - 17 years"	"15-17"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	3090""
	"California"	"06"	"15 - 17 years"	"15-17"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	583""
	"California"	"06"	"15 - 17 years"	"15-17"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	24""
	"California"	"06"	"15 - 17 years"	"15-17"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	213""
	"California"	"06"	"15 - 17 years"	"15-17"	"2019"	"2019"	"8th grade or ""less"	"1"	251""
	"California"	"06"	"15 - 17 years"	"15-17"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	2637""
	"California"	"06"	"15 - 17 years"	"15-17"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	536""
	"California"	"06"	"15 - 17 years"	"15-17"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	40""
	"California"	"06"	"15 - 17 years"	"15-17"	"2019"	"2019"	"Unknown or Not ""Stated"	"Unk"	227""
	"California"	"06"	"15 - 17 years"	"15-17"	"2020"	"2020"	"8th grade or ""less"	"1"	213""
	"California"	"06"	"15 - 17 years"	"15-17"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	2382""
	"California"	"06"	"15 - 17 years"	"15-17"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	532""
	"California"	"06"	"15 - 17 years"	"15-17"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	15""
	"California"	"06"	"15 - 17 years"	"15-17"	"2020"	"2020"	"Unknown or Not ""Stated"	"Unk"	247""
	"California"	"06"	"15 - 17 years"	"15-17"	"2021"	"2021"	"8th grade or ""less"	"1"	225""
	"California"	"06"	"15 - 17 years"	"15-17"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	2018""
	"California"	"06"	"15 - 17 years"	"15-17"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	449""
	"California"	"06"	"15 - 17 years"	"15-17"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	13""
	"California"	"06"	"15 - 17 years"	"15-17"	"2021"	"2021"	"Unknown or Not ""Stated"	"Unk"	221""
	"California"	"06"	"15 - 17 years"	"15-17"	"2022"	"2022"	"8th grade or ""less"	"1"	234""
	"California"	"06"	"15 - 17 years"	"15-17"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	1861""
	"California"	"06"	"15 - 17 years"	"15-17"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	463""
	"California"	"06"	"15 - 17 years"	"15-17"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	20""
	"California"	"06"	"15 - 17 years"	"15-17"	"2022"	"2022"	"Unknown or Not ""Stated"	"Unk"	275""
	"California"	"06"	"18 - 19 years"	"18-19"	"2016"	"2016"	"8th grade or ""less"	"1"	453""
	"California"	"06"	"18 - 19 years"	"18-19"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	4334""
	"California"	"06"	"18 - 19 years"	"18-19"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	8025""
	"California"	"06"	"18 - 19 years"	"18-19"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	2236""
	"California"	"06"	"18 - 19 years"	"18-19"	"2016"	"2016"	"Associate degree (AA, ""AS)"	"5"	68""
	"California"	"06"	"18 - 19 years"	"18-19"	"2016"	"2016"	"Bachelor's degree (BA, AB, ""BS)"	"6"	11""
	"California"	"06"	"18 - 19 years"	"18-19"	"2016"	"2016"	"Unknown or Not ""Stated"	"Unk"	668""
	"California"	"06"	"18 - 19 years"	"18-19"	"2017"	"2017"	"8th grade or ""less"	"1"	383""
	"California"	"06"	"18 - 19 years"	"18-19"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	3857""
	"California"	"06"	"18 - 19 years"	"18-19"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	7285""
	"California"	"06"	"18 - 19 years"	"18-19"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	1978""
	"California"	"06"	"18 - 19 years"	"18-19"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	59""
	"California"	"06"	"18 - 19 years"	"18-19"	"2017"	"2017"	"Bachelor's degree (BA, AB, ""BS)"	"6"	11""
	"California"	"06"	"18 - 19 years"	"18-19"	"2017"	"2017"	"Unknown or Not ""Stated"	"Unk"	580""
	"California"	"06"	"18 - 19 years"	"18-19"	"2018"	"2018"	"8th grade or ""less"	"1"	419""
	"California"	"06"	"18 - 19 years"	"18-19"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	3307""
	"California"	"06"	"18 - 19 years"	"18-19"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	6633""
	"California"	"06"	"18 - 19 years"	"18-19"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	1777""
	"California"	"06"	"18 - 19 years"	"18-19"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	57""
	"California"	"06"	"18 - 19 years"	"18-19"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	541""
	"California"	"06"	"18 - 19 years"	"18-19"	"2019"	"2019"	"8th grade or ""less"	"1"	477""
	"California"	"06"	"18 - 19 years"	"18-19"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	2797""
	"California"	"06"	"18 - 19 years"	"18-19"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	6125""
	"California"	"06"	"18 - 19 years"	"18-19"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	1620""
	"California"	"06"	"18 - 19 years"	"18-19"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	43""
	"California"	"06"	"18 - 19 years"	"18-19"	"2019"	"2019"	"Unknown or Not ""Stated"	"Unk"	603""
	"California"	"06"	"18 - 19 years"	"18-19"	"2020"	"2020"	"8th grade or ""less"	"1"	376""
	"California"	"06"	"18 - 19 years"	"18-19"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	2361""
	"California"	"06"	"18 - 19 years"	"18-19"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	5423""
	"California"	"06"	"18 - 19 years"	"18-19"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	1386""
	"California"	"06"	"18 - 19 years"	"18-19"	"2020"	"2020"	"Associate degree (AA, ""AS)"	"5"	41""
	"California"	"06"	"18 - 19 years"	"18-19"	"2020"	"2020"	"Unknown or Not ""Stated"	"Unk"	615""
	"California"	"06"	"18 - 19 years"	"18-19"	"2021"	"2021"	"8th grade or ""less"	"1"	423""
	"California"	"06"	"18 - 19 years"	"18-19"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	2073""
	"California"	"06"	"18 - 19 years"	"18-19"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	5266""
	"California"	"06"	"18 - 19 years"	"18-19"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	1100""
	"California"	"06"	"18 - 19 years"	"18-19"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	62""
	"California"	"06"	"18 - 19 years"	"18-19"	"2021"	"2021"	"Unknown or Not ""Stated"	"Unk"	630""
	"California"	"06"	"18 - 19 years"	"18-19"	"2022"	"2022"	"8th grade or ""less"	"1"	467""
