"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Mother's Education"	"Mother's Education Code"	Deaths	Births	Death Rate
	"Illinois"	"17"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	59	17859	3.30
	"Illinois"	"17"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	17	4588	3.71 (Unreliable)
	"Illinois"	"17"	"2018"	"2018"	"Unknown or Not Stated"	"Unk"	51	2240	22.77
	"Illinois"	"17"	"2019"	"2019"	"8th grade or less"	"1"	14	2870	4.88 (Unreliable)
	"Illinois"	"17"	"2019"	"2019"	"9th through 12th grade with no diploma"	"2"	87	10453	8.32
	"Illinois"	"17"	"2019"	"2019"	"High school graduate or GED completed"	"3"	262	32421	8.08
	"Illinois"	"17"	"2019"	"2019"	"Some college credit, but not a degree"	"4"	148	26752	5.53
	"Illinois"	"17"	"2019"	"2019"	"Associate degree (AA, AS)"	"5"	64	11207	5.71
	"Illinois"	"17"	"2019"	"2019"	"Bachelor's degree (BA, AB, BS)"	"6"	109	32326	3.37
	"Illinois"	"17"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	57	17746	3.21
	"Illinois"	"17"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	16	4567	3.50 (Unreliable)
	"Illinois"	"17"	"2019"	"2019"	"Unknown or Not Stated"	"Unk"	36	1786	20.16
	"Illinois"	"17"	"2020"	"2020"	"8th grade or less"	"1"	24	2623	9.15
	"Illinois"	"17"	"2020"	"2020"	"9th through 12th grade with no diploma"	"2"	86	9814	8.76
	"Illinois"	"17"	"2020"	"2020"	"High school graduate or GED completed"	"3"	225	30949	7.27
	"Illinois"	"17"	"2020"	"2020"	"Some college credit, but not a degree"	"4"	157	24966	6.29
	"Illinois"	"17"	"2020"	"2020"	"Associate degree (AA, AS)"	"5"	51	10601	4.81
	"Illinois"	"17"	"2020"	"2020"	"Bachelor's degree (BA, AB, BS)"	"6"	96	31283	3.07
	"Illinois"	"17"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	45	16916	2.66
	"Illinois"	"17"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	14	4380	3.20 (Unreliable)
	"Illinois"	"17"	"2020"	"2020"	"Unknown or Not Stated"	"Unk"	34	1766	19.25
	"Illinois"	"17"	"2021"	"2021"	"8th grade or less"	"1"	17	2443	6.96 (Unreliable)
	"Illinois"	"17"	"2021"	"2021"	"9th through 12th grade with no diploma"	"2"	88	8829	9.97
	"Illinois"	"17"	"2021"	"2021"	"High school graduate or GED completed"	"3"	247	29948	8.25
	"Illinois"	"17"	"2021"	"2021"	"Some college credit, but not a degree"	"4"	161	23823	6.76
	"Illinois"	"17"	"2021"	"2021"	"Associate degree (AA, AS)"	"5"	49	10754	4.56
	"Illinois"	"17"	"2021"	"2021"	"Bachelor's degree (BA, AB, BS)"	"6"	103	32759	3.14
	"Illinois"	"17"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	34	17353	1.96
	"Illinois"	"17"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	4824	Suppressed
	"Illinois"	"17"	"2021"	"2021"	"Unknown or Not Stated"	"Unk"	40	1456	27.47
	"Indiana"	"18"	"2007"	"2007"	"Excluded"	"Exc"	681	89864	7.58
	"Indiana"	"18"	"2008"	"2008"	"8th grade or less"	"1"	45	4723	9.53
	"Indiana"	"18"	"2008"	"2008"	"9th through 12th grade with no diploma"	"2"	132	14530	9.08
	"Indiana"	"18"	"2008"	"2008"	"High school graduate or GED completed"	"3"	208	25184	8.26
	"Indiana"	"18"	"2008"	"2008"	"Some college credit, but not a degree"	"4"	91	16175	5.63
	"Indiana"	"18"	"2008"	"2008"	"Associate degree (AA, AS)"	"5"	38	7100	5.35
	"Indiana"	"18"	"2008"	"2008"	"Bachelor's degree (BA, AB, BS)"	"6"	53	14983	3.54
	"Indiana"	"18"	"2008"	"2008"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	20	4053	4.93
	"Indiana"	"18"	"2008"	"2008"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1155	Suppressed
	"Indiana"	"18"	"2008"	"2008"	"Unknown or Not Stated"	"Unk"	18	839	21.45 (Unreliable)
	"Indiana"	"18"	"2009"	"2009"	"8th grade or less"	"1"	32	4646	6.89
	"Indiana"	"18"	"2009"	"2009"	"9th through 12th grade with no diploma"	"2"	151	13682	11.04
	"Indiana"	"18"	"2009"	"2009"	"High school graduate or GED completed"	"3"	236	23973	9.84
	"Indiana"	"18"	"2009"	"2009"	"Some college credit, but not a degree"	"4"	106	16579	6.39
	"Indiana"	"18"	"2009"	"2009"	"Associate degree (AA, AS)"	"5"	40	6631	6.03
	"Indiana"	"18"	"2009"	"2009"	"Bachelor's degree (BA, AB, BS)"	"6"	75	14916	5.03
	"Indiana"	"18"	"2009"	"2009"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	12	4252	2.82 (Unreliable)
	"Indiana"	"18"	"2009"	"2009"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1173	Suppressed
	"Indiana"	"18"	"2009"	"2009"	"Unknown or Not Stated"	"Unk"	20	821	24.36
	"Indiana"	"18"	"2010"	"2010"	"8th grade or less"	"1"	45	4397	10.23
	"Indiana"	"18"	"2010"	"2010"	"9th through 12th grade with no diploma"	"2"	130	12742	10.20
	"Indiana"	"18"	"2010"	"2010"	"High school graduate or GED completed"	"3"	206	22182	9.29
	"Indiana"	"18"	"2010"	"2010"	"Some college credit, but not a degree"	"4"	109	16960	6.43
	"Indiana"	"18"	"2010"	"2010"	"Associate degree (AA, AS)"	"5"	34	6703	5.07
	"Indiana"	"18"	"2010"	"2010"	"Bachelor's degree (BA, AB, BS)"	"6"	75	14894	5.04
	"Indiana"	"18"	"2010"	"2010"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	23	4398	5.23
	"Indiana"	"18"	"2010"	"2010"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1281	Suppressed
	"Indiana"	"18"	"2010"	"2010"	"Unknown or Not Stated"	"Unk"	13	383	33.94 (Unreliable)
	"Indiana"	"18"	"2011"	"2011"	"8th grade or less"	"1"	36	4152	8.67
	"Indiana"	"18"	"2011"	"2011"	"9th through 12th grade with no diploma"	"2"	108	11753	9.19
	"Indiana"	"18"	"2011"	"2011"	"High school graduate or GED completed"	"3"	184	22270	8.26
	"Indiana"	"18"	"2011"	"2011"	"Some college credit, but not a degree"	"4"	136	17087	7.96
	"Indiana"	"18"	"2011"	"2011"	"Associate degree (AA, AS)"	"5"	39	6899	5.65
	"Indiana"	"18"	"2011"	"2011"	"Bachelor's degree (BA, AB, BS)"	"6"	89	15417	5.77
	"Indiana"	"18"	"2011"	"2011"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	19	4518	4.21 (Unreliable)
	"Indiana"	"18"	"2011"	"2011"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	10	1273	7.86 (Unreliable)
	"Indiana"	"18"	"2011"	"2011"	"Unknown or Not Stated"	"Unk"	16	332	48.19 (Unreliable)
	"Indiana"	"18"	"2012"	"2012"	"8th grade or less"	"1"	34	4019	8.46
	"Indiana"	"18"	"2012"	"2012"	"9th through 12th grade with no diploma"	"2"	113	11231	10.06
	"Indiana"	"18"	"2012"	"2012"	"High school graduate or GED completed"	"3"	182	21894	8.31
	"Indiana"	"18"	"2012"	"2012"	"Some college credit, but not a degree"	"4"	109	17479	6.24
	"Indiana"	"18"	"2012"	"2012"	"Associate degree (AA, AS)"	"5"	31	6903	4.49
	"Indiana"	"18"	"2012"	"2012"	"Bachelor's degree (BA, AB, BS)"	"6"	56	15291	3.66
	"Indiana"	"18"	"2012"	"2012"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	20	4747	4.21
	"Indiana"	"18"	"2012"	"2012"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1392	Suppressed
	"Indiana"	"18"	"2012"	"2012"	"Unknown or Not Stated"	"Unk"	Suppressed	271	Suppressed
	"Indiana"	"18"	"2013"	"2013"	"8th grade or less"	"1"	25	3934	6.35
	"Indiana"	"18"	"2013"	"2013"	"9th through 12th grade with no diploma"	"2"	96	10551	9.10
	"Indiana"	"18"	"2013"	"2013"	"High school graduate or GED completed"	"3"	224	22049	10.16
	"Indiana"	"18"	"2013"	"2013"	"Some college credit, but not a degree"	"4"	133	17820	7.46
	"Indiana"	"18"	"2013"	"2013"	"Associate degree (AA, AS)"	"5"	28	6920	4.05
	"Indiana"	"18"	"2013"	"2013"	"Bachelor's degree (BA, AB, BS)"	"6"	63	15321	4.11
	"Indiana"	"18"	"2013"	"2013"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	13	4889	2.66 (Unreliable)
	"Indiana"	"18"	"2013"	"2013"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1372	Suppressed
	"Indiana"	"18"	"2013"	"2013"	"Unknown or Not Stated"	"Unk"	16	246	65.04 (Unreliable)
	"Indiana"	"18"	"2014"	"2014"	"8th grade or less"	"1"	15	3860	3.89 (Unreliable)
	"Indiana"	"18"	"2014"	"2014"	"9th through 12th grade with no diploma"	"2"	92	9812	9.38
	"Indiana"	"18"	"2014"	"2014"	"High school graduate or GED completed"	"3"	223	22998	9.70
	"Indiana"	"18"	"2014"	"2014"	"Some college credit, but not a degree"	"4"	134	17784	7.53
	"Indiana"	"18"	"2014"	"2014"	"Associate degree (AA, AS)"	"5"	46	7121	6.46
	"Indiana"	"18"	"2014"	"2014"	"Bachelor's degree (BA, AB, BS)"	"6"	49	15719	3.12
	"Indiana"	"18"	"2014"	"2014"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	23	5159	4.46
	"Indiana"	"18"	"2014"	"2014"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1481	Suppressed
	"Indiana"	"18"	"2014"	"2014"	"Unknown or Not Stated"	"Unk"	Suppressed	146	Suppressed
	"Indiana"	"18"	"2015"	"2015"	"8th grade or less"	"1"	36	3975	9.06
	"Indiana"	"18"	"2015"	"2015"	"9th through 12th grade with no diploma"	"2"	101	9575	10.55
	"Indiana"	"18"	"2015"	"2015"	"High school graduate or GED completed"	"3"	199	23141	8.60
	"Indiana"	"18"	"2015"	"2015"	"Some college credit, but not a degree"	"4"	131	17549	7.46
	"Indiana"	"18"	"2015"	"2015"	"Associate degree (AA, AS)"	"5"	34	7340	4.63
	"Indiana"	"18"	"2015"	"2015"	"Bachelor's degree (BA, AB, BS)"	"6"	77	15753	4.89
	"Indiana"	"18"	"2015"	"2015"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	21	5082	4.13
	"Indiana"	"18"	"2015"	"2015"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1506	Suppressed
	"Indiana"	"18"	"2015"	"2015"	"Unknown or Not Stated"	"Unk"	10	119	84.03 (Unreliable)
	"Indiana"	"18"	"2016"	"2016"	"8th grade or less"	"1"	30	3808	7.88
	"Indiana"	"18"	"2016"	"2016"	"9th through 12th grade with no diploma"	"2"	110	9134	12.04
	"Indiana"	"18"	"2016"	"2016"	"High school graduate or GED completed"	"3"	192	22764	8.43
	"Indiana"	"18"	"2016"	"2016"	"Some college credit, but not a degree"	"4"	120	17037	7.04
	"Indiana"	"18"	"2016"	"2016"	"Associate degree (AA, AS)"	"5"	45	7306	6.16
	"Indiana"	"18"	"2016"	"2016"	"Bachelor's degree (BA, AB, BS)"	"6"	84	16270	5.16
	"Indiana"	"18"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	19	5104	3.72 (Unreliable)
	"Indiana"	"18"	"2016"	"2016"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1532	Suppressed
	"Indiana"	"18"	"2016"	"2016"	"Unknown or Not Stated"	"Unk"	Suppressed	136	Suppressed
	"Indiana"	"18"	"2017"	"2017"	"8th grade or less"	"1"	33	3827	8.62
	"Indiana"	"18"	"2017"	"2017"	"9th through 12th grade with no diploma"	"2"	87	8779	9.91
	"Indiana"	"18"	"2017"	"2017"	"High school graduate or GED completed"	"3"	203	23165	8.76
	"Indiana"	"18"	"2017"	"2017"	"Some college credit, but not a degree"	"4"	112	16650	6.73
	"Indiana"	"18"	"2017"	"2017"	"Associate degree (AA, AS)"	"5"	46	7051	6.52
	"Indiana"	"18"	"2017"	"2017"	"Bachelor's degree (BA, AB, BS)"	"6"	81	16043	5.05
	"Indiana"	"18"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	20	5014	3.99
	"Indiana"	"18"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1504	Suppressed
	"Indiana"	"18"	"2017"	"2017"	"Unknown or Not Stated"	"Unk"	Suppressed	137	Suppressed
	"Indiana"	"18"	"2018"	"2018"	"8th grade or less"	"1"	36	3769	9.55
	"Indiana"	"18"	"2018"	"2018"	"9th through 12th grade with no diploma"	"2"	86	8453	10.17
	"Indiana"	"18"	"2018"	"2018"	"High school graduate or GED completed"	"3"	211	23558	8.96
	"Indiana"	"18"	"2018"	"2018"	"Some college credit, but not a degree"	"4"	98	16215	6.04
	"Indiana"	"18"	"2018"	"2018"	"Associate degree (AA, AS)"	"5"	37	6842	5.41
	"Indiana"	"18"	"2018"	"2018"	"Bachelor's degree (BA, AB, BS)"	"6"	59	16128	3.66
	"Indiana"	"18"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	14	4975	2.81 (Unreliable)
	"Indiana"	"18"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1601	Suppressed
	"Indiana"	"18"	"2018"	"2018"	"Unknown or Not Stated"	"Unk"	Suppressed	105	Suppressed
	"Indiana"	"18"	"2019"	"2019"	"8th grade or less"	"1"	27	3854	7.01
	"Indiana"	"18"	"2019"	"2019"	"9th through 12th grade with no diploma"	"2"	81	8309	9.75
	"Indiana"	"18"	"2019"	"2019"	"High school graduate or GED completed"	"3"	178	23993	7.42
	"Indiana"	"18"	"2019"	"2019"	"Some college credit, but not a degree"	"4"	112	15388	7.28
	"Indiana"	"18"	"2019"	"2019"	"Associate degree (AA, AS)"	"5"	39	6464	6.03
	"Indiana"	"18"	"2019"	"2019"	"Bachelor's degree (BA, AB, BS)"	"6"	65	16257	4.00
	"Indiana"	"18"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	18	4916	3.66 (Unreliable)
	"Indiana"	"18"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1577	Suppressed
	"Indiana"	"18"	"2019"	"2019"	"Unknown or Not Stated"	"Unk"	Suppressed	101	Suppressed
	"Indiana"	"18"	"2020"	"2020"	"8th grade or less"	"1"	25	3987	6.27
	"Indiana"	"18"	"2020"	"2020"	"9th through 12th grade with no diploma"	"2"	73	7629	9.57
	"Indiana"	"18"	"2020"	"2020"	"High school graduate or GED completed"	"3"	196	23434	8.36
	"Indiana"	"18"	"2020"	"2020"	"Some college credit, but not a degree"	"4"	98	14462	6.78
	"Indiana"	"18"	"2020"	"2020"	"Associate degree (AA, AS)"	"5"	31	6285	4.93
	"Indiana"	"18"	"2020"	"2020"	"Bachelor's degree (BA, AB, BS)"	"6"	76	16074	4.73
	"Indiana"	"18"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	24	4964	4.83
	"Indiana"	"18"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1664	Suppressed
	"Indiana"	"18"	"2020"	"2020"	"Unknown or Not Stated"	"Unk"	Suppressed	117	Suppressed
	"Indiana"	"18"	"2021"	"2021"	"8th grade or less"	"1"	35	3897	8.98
	"Indiana"	"18"	"2021"	"2021"	"9th through 12th grade with no diploma"	"2"	97	7363	13.17
	"Indiana"	"18"	"2021"	"2021"	"High school graduate or GED completed"	"3"	164	23268	7.05
	"Indiana"	"18"	"2021"	"2021"	"Some college credit, but not a degree"	"4"	109	14538	7.50
	"Indiana"	"18"	"2021"	"2021"	"Associate degree (AA, AS)"	"5"	31	6544	4.74
	"Indiana"	"18"	"2021"	"2021"	"Bachelor's degree (BA, AB, BS)"	"6"	74	17013	4.35
	"Indiana"	"18"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	17	5391	3.15 (Unreliable)
	"Indiana"	"18"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1717	Suppressed
	"Indiana"	"18"	"2021"	"2021"	"Unknown or Not Stated"	"Unk"	Suppressed	215	Suppressed
	"Iowa"	"19"	"2007"	"2007"	"Excluded"	"Exc"	224	40886	5.48
	"Iowa"	"19"	"2008"	"2008"	"8th grade or less"	"1"	Suppressed	1315	Suppressed
	"Iowa"	"19"	"2008"	"2008"	"9th through 12th grade with no diploma"	"2"	37	4510	8.20
	"Iowa"	"19"	"2008"	"2008"	"High school graduate or GED completed"	"3"	63	8370	7.53
	"Iowa"	"19"	"2008"	"2008"	"Some college credit, but not a degree"	"4"	49	8853	5.53
	"Iowa"	"19"	"2008"	"2008"	"Associate degree (AA, AS)"	"5"	17	5207	3.26 (Unreliable)
	"Iowa"	"19"	"2008"	"2008"	"Bachelor's degree (BA, AB, BS)"	"6"	33	8466	3.90
	"Iowa"	"19"	"2008"	"2008"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	12	2113	5.68 (Unreliable)
	"Iowa"	"19"	"2008"	"2008"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	773	Suppressed
	"Iowa"	"19"	"2008"	"2008"	"Unknown or Not Stated"	"Unk"	Suppressed	617	Suppressed
	"Iowa"	"19"	"2009"	"2009"	"8th grade or less"	"1"	11	1262	8.72 (Unreliable)
	"Iowa"	"19"	"2009"	"2009"	"9th through 12th grade with no diploma"	"2"	33	4378	7.54
	"Iowa"	"19"	"2009"	"2009"	"High school graduate or GED completed"	"3"	41	7978	5.14
	"Iowa"	"19"	"2009"	"2009"	"Some college credit, but not a degree"	"4"	42	8518	4.93
	"Iowa"	"19"	"2009"	"2009"	"Associate degree (AA, AS)"	"5"	13	5094	2.55 (Unreliable)
	"Iowa"	"19"	"2009"	"2009"	"Bachelor's degree (BA, AB, BS)"	"6"	24	8782	2.73
	"Iowa"	"19"	"2009"	"2009"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	2245	Suppressed
	"Iowa"	"19"	"2009"	"2009"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	793	Suppressed
	"Iowa"	"19"	"2009"	"2009"	"Unknown or Not Stated"	"Unk"	Suppressed	651	Suppressed
	"Iowa"	"19"	"2010"	"2010"	"8th grade or less"	"1"	Suppressed	1179	Suppressed
	"Iowa"	"19"	"2010"	"2010"	"9th through 12th grade with no diploma"	"2"	38	3900	9.74
	"Iowa"	"19"	"2010"	"2010"	"High school graduate or GED completed"	"3"	55	7687	7.15
	"Iowa"	"19"	"2010"	"2010"	"Some college credit, but not a degree"	"4"	28	8288	3.38
	"Iowa"	"19"	"2010"	"2010"	"Associate degree (AA, AS)"	"5"	20	5193	3.85
	"Iowa"	"19"	"2010"	"2010"	"Bachelor's degree (BA, AB, BS)"	"6"	24	8912	2.69
	"Iowa"	"19"	"2010"	"2010"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	2356	Suppressed
	"Iowa"	"19"	"2010"	"2010"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	847	Suppressed
	"Iowa"	"19"	"2010"	"2010"	"Unknown or Not Stated"	"Unk"	Suppressed	357	Suppressed
	"Iowa"	"19"	"2011"	"2011"	"8th grade or less"	"1"	Suppressed	1194	Suppressed
	"Iowa"	"19"	"2011"	"2011"	"9th through 12th grade with no diploma"	"2"	18	3740	4.81 (Unreliable)
	"Iowa"	"19"	"2011"	"2011"	"High school graduate or GED completed"	"3"	47	7387	6.36
	"Iowa"	"19"	"2011"	"2011"	"Some college credit, but not a degree"	"4"	48	8219	5.84
	"Iowa"	"19"	"2011"	"2011"	"Associate degree (AA, AS)"	"5"	18	5126	3.51 (Unreliable)
	"Iowa"	"19"	"2011"	"2011"	"Bachelor's degree (BA, AB, BS)"	"6"	32	8927	3.58
	"Iowa"	"19"	"2011"	"2011"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	2658	Suppressed
	"Iowa"	"19"	"2011"	"2011"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	902	Suppressed
	"Iowa"	"19"	"2011"	"2011"	"Unknown or Not Stated"	"Unk"	Suppressed	61	Suppressed
	"Iowa"	"19"	"2012"	"2012"	"8th grade or less"	"1"	Suppressed	1158	Suppressed
	"Iowa"	"19"	"2012"	"2012"	"9th through 12th grade with no diploma"	"2"	29	3624	8.00
	"Iowa"	"19"	"2012"	"2012"	"High school graduate or GED completed"	"3"	57	7458	7.64
	"Iowa"	"19"	"2012"	"2012"	"Some college credit, but not a degree"	"4"	37	8420	4.39
	"Iowa"	"19"	"2012"	"2012"	"Associate degree (AA, AS)"	"5"	22	5307	4.15
	"Iowa"	"19"	"2012"	"2012"	"Bachelor's degree (BA, AB, BS)"	"6"	41	9074	4.52
	"Iowa"	"19"	"2012"	"2012"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	2679	Suppressed
	"Iowa"	"19"	"2012"	"2012"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	964	Suppressed
	"Iowa"	"19"	"2013"	"2013"	"8th grade or less"	"1"	Suppressed	1127	Suppressed
	"Iowa"	"19"	"2013"	"2013"	"9th through 12th grade with no diploma"	"2"	30	3466	8.66
	"Iowa"	"19"	"2013"	"2013"	"High school graduate or GED completed"	"3"	35	7655	4.57
	"Iowa"	"19"	"2013"	"2013"	"Some college credit, but not a degree"	"4"	35	8479	4.13
	"Iowa"	"19"	"2013"	"2013"	"Associate degree (AA, AS)"	"5"	16	5472	2.92 (Unreliable)
	"Iowa"	"19"	"2013"	"2013"	"Bachelor's degree (BA, AB, BS)"	"6"	36	9206	3.91
	"Iowa"	"19"	"2013"	"2013"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	2690	Suppressed
	"Iowa"	"19"	"2013"	"2013"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	981	Suppressed
	"Iowa"	"19"	"2014"	"2014"	"8th grade or less"	"1"	Suppressed	1219	Suppressed
	"Iowa"	"19"	"2014"	"2014"	"9th through 12th grade with no diploma"	"2"	22	3447	6.38
	"Iowa"	"19"	"2014"	"2014"	"High school graduate or GED completed"	"3"	47	7812	6.02
	"Iowa"	"19"	"2014"	"2014"	"Some college credit, but not a degree"	"4"	46	8370	5.50
	"Iowa"	"19"	"2014"	"2014"	"Associate degree (AA, AS)"	"5"	18	5492	3.28 (Unreliable)
	"Iowa"	"19"	"2014"	"2014"	"Bachelor's degree (BA, AB, BS)"	"6"	32	9483	3.37
	"Iowa"	"19"	"2014"	"2014"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	12	2873	4.18 (Unreliable)
	"Iowa"	"19"	"2014"	"2014"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	975	Suppressed
	"Iowa"	"19"	"2015"	"2015"	"8th grade or less"	"1"	Suppressed	1190	Suppressed
	"Iowa"	"19"	"2015"	"2015"	"9th through 12th grade with no diploma"	"2"	24	3238	7.41
	"Iowa"	"19"	"2015"	"2015"	"High school graduate or GED completed"	"3"	48	8530	5.63
	"Iowa"	"19"	"2015"	"2015"	"Some college credit, but not a degree"	"4"	38	7762	4.90
	"Iowa"	"19"	"2015"	"2015"	"Associate degree (AA, AS)"	"5"	13	5263	2.47 (Unreliable)
	"Iowa"	"19"	"2015"	"2015"	"Bachelor's degree (BA, AB, BS)"	"6"	27	9478	2.85
	"Iowa"	"19"	"2015"	"2015"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	2930	Suppressed
	"Iowa"	"19"	"2015"	"2015"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1049	Suppressed
	"Iowa"	"19"	"2015"	"2015"	"Unknown or Not Stated"	"Unk"	Suppressed	42	Suppressed
	"Iowa"	"19"	"2016"	"2016"	"8th grade or less"	"1"	Suppressed	1291	Suppressed
	"Iowa"	"19"	"2016"	"2016"	"9th through 12th grade with no diploma"	"2"	29	3098	9.36
	"Iowa"	"19"	"2016"	"2016"	"High school graduate or GED completed"	"3"	67	9447	7.09
	"Iowa"	"19"	"2016"	"2016"	"Some college credit, but not a degree"	"4"	50	6957	7.19
	"Iowa"	"19"	"2016"	"2016"	"Associate degree (AA, AS)"	"5"	21	5045	4.16
	"Iowa"	"19"	"2016"	"2016"	"Bachelor's degree (BA, AB, BS)"	"6"	45	9449	4.76
	"Iowa"	"19"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	2999	Suppressed
	"Iowa"	"19"	"2016"	"2016"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1045	Suppressed
	"Iowa"	"19"	"2016"	"2016"	"Unknown or Not Stated"	"Unk"	Suppressed	72	Suppressed
	"Iowa"	"19"	"2017"	"2017"	"8th grade or less"	"1"	Suppressed	1263	Suppressed
	"Iowa"	"19"	"2017"	"2017"	"9th through 12th grade with no diploma"	"2"	30	3067	9.78
	"Iowa"	"19"	"2017"	"2017"	"High school graduate or GED completed"	"3"	63	9406	6.70
	"Iowa"	"19"	"2017"	"2017"	"Some college credit, but not a degree"	"4"	36	6607	5.45
	"Iowa"	"19"	"2017"	"2017"	"Associate degree (AA, AS)"	"5"	18	4853	3.71 (Unreliable)
	"Iowa"	"19"	"2017"	"2017"	"Bachelor's degree (BA, AB, BS)"	"6"	33	9119	3.62
	"Iowa"	"19"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	2982	Suppressed
	"Iowa"	"19"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1075	Suppressed
